Неделя;Дата с;Дата по;Просмотры объявлений;Обращений;Дошли до диагностики;Записались;Пришли;Выручка услуги, ₽;Выручка товар, ₽;Средний чек, ₽;Повторных визитов;Новых отзывов;Потрачено на рекламу, ₽;Стоимость обращения, ₽;Конверсия в запись, %;Что заметили за неделю
1;;;;;;;;;;=ЕСЛИ(H2=0;"";(I2+J2)/H2);;;;=ЕСЛИ(E2=0;"";N2/E2);=ЕСЛИ(E2=0;"";G2/E2);
2;;;;;;;;;;=ЕСЛИ(H3=0;"";(I3+J3)/H3);;;;=ЕСЛИ(E3=0;"";N3/E3);=ЕСЛИ(E3=0;"";G3/E3);
3;;;;;;;;;;=ЕСЛИ(H4=0;"";(I4+J4)/H4);;;;=ЕСЛИ(E4=0;"";N4/E4);=ЕСЛИ(E4=0;"";G4/E4);
4;;;;;;;;;;=ЕСЛИ(H5=0;"";(I5+J5)/H5);;;;=ЕСЛИ(E5=0;"";N5/E5);=ЕСЛИ(E5=0;"";G5/E5);
5;;;;;;;;;;=ЕСЛИ(H6=0;"";(I6+J6)/H6);;;;=ЕСЛИ(E6=0;"";N6/E6);=ЕСЛИ(E6=0;"";G6/E6);
6;;;;;;;;;;=ЕСЛИ(H7=0;"";(I7+J7)/H7);;;;=ЕСЛИ(E7=0;"";N7/E7);=ЕСЛИ(E7=0;"";G7/E7);
7;;;;;;;;;;=ЕСЛИ(H8=0;"";(I8+J8)/H8);;;;=ЕСЛИ(E8=0;"";N8/E8);=ЕСЛИ(E8=0;"";G8/E8);
8;;;;;;;;;;=ЕСЛИ(H9=0;"";(I9+J9)/H9);;;;=ЕСЛИ(E9=0;"";N9/E9);=ЕСЛИ(E9=0;"";G9/E9);
9;;;;;;;;;;=ЕСЛИ(H10=0;"";(I10+J10)/H10);;;;=ЕСЛИ(E10=0;"";N10/E10);=ЕСЛИ(E10=0;"";G10/E10);
10;;;;;;;;;;=ЕСЛИ(H11=0;"";(I11+J11)/H11);;;;=ЕСЛИ(E11=0;"";N11/E11);=ЕСЛИ(E11=0;"";G11/E11);
11;;;;;;;;;;=ЕСЛИ(H12=0;"";(I12+J12)/H12);;;;=ЕСЛИ(E12=0;"";N12/E12);=ЕСЛИ(E12=0;"";G12/E12);
12;;;;;;;;;;=ЕСЛИ(H13=0;"";(I13+J13)/H13);;;;=ЕСЛИ(E13=0;"";N13/E13);=ЕСЛИ(E13=0;"";G13/E13);
13;;;;;;;;;;=ЕСЛИ(H14=0;"";(I14+J14)/H14);;;;=ЕСЛИ(E14=0;"";N14/E14);=ЕСЛИ(E14=0;"";G14/E14);
